,Model,Interpretability,F1 Score,ROC AUC,Recall,Precision,Accuracy (Testing),Accuracy (Training)
0,LogisticRegression,Best,0.9647058823529412,0.99737962659679,0.9534883720930233,0.9761904761904762,0.9736842105263158,0.9868131868131869
1,LogisticRegressionCV,Best,0.9761904761904762,0.99737962659679,0.9534883720930233,1.0,0.9824561403508771,0.9868131868131869
2,PassiveAggressiveClassifier,Worst,0.9767441860465116,N/A,0.9767441860465116,0.9767441860465116,0.9824561403508771,0.9846153846153847
3,Perceptron,Worst,0.9655172413793104,N/A,0.9767441860465116,0.9545454545454546,0.9736842105263158,0.9758241758241758
4,RidgeClassifier,Best,0.9397590361445783,N/A,0.9069767441860465,0.975,0.956140350877193,0.967032967032967
5,RidgeClassifierCV,Best,0.9397590361445783,N/A,0.9069767441860465,0.975,0.956140350877193,0.9648351648351648
6,SGDClassifier,Worst,0.9545454545454546,N/A,0.9767441860465116,0.9333333333333333,0.9649122807017544,0.9758241758241758
7,AdaBoostClassifier,High,0.9647058823529412,0.9944317065181788,0.9534883720930233,0.9761904761904762,0.9736842105263158,1.0
8,BaggingClassifier,Medium,0.9411764705882353,0.9850966262692433,0.9302325581395349,0.9523809523809523,0.956140350877193,0.9934065934065934
9,ExtraTreesClassifier,Medium,0.9523809523809523,0.998689813298395,0.9302325581395349,0.975609756097561,0.9649122807017544,1.0
10,GradientBoostingClassifier,Medium,0.9534883720930233,0.9934490664919752,0.9534883720930233,0.9534883720930233,0.9649122807017544,1.0
11,RandomForestClassifier,Medium,0.9523809523809523,0.9963969865705863,0.9302325581395349,0.975609756097561,0.9649122807017544,0.9538461538461539
12,HistGradientBoostingClassifier,Medium,0.9647058823529412,0.99475925319358,0.9534883720930233,0.9761904761904762,0.9736842105263158,1.0
13,GaussianProcessClassifier,Low,0.9761904761904762,0.9931215198165739,0.9534883720930233,1.0,0.9824561403508771,0.9978021978021978
14,BernoulliNB,Best,0.9767441860465116,0.9993449066491975,0.9767441860465116,0.9767441860465116,0.9824561403508771,0.9252747252747253
15,GaussianNB,Best,0.9523809523809523,0.99737962659679,0.9302325581395349,0.975609756097561,0.9649122807017544,0.9362637362637363
16,KNeighborsClassifier,Low,0.9302325581395349,0.9819849328529314,0.9302325581395349,0.9302325581395349,0.9473684210526315,0.9802197802197802
17,RadiusNeighborsClassifier,Low,0.65625,0.9957418932197838,0.4883720930232558,1.0,0.8070175438596491,0.8
18,NearestCentroid,Best,0.9397590361445783,N/A,0.9069767441860465,0.975,0.956140350877193,0.9252747252747253
19,MLPClassifier,Low,0.9534883720930233,0.99475925319358,0.9534883720930233,0.9534883720930233,0.9649122807017544,0.9956043956043956
20,LinearSVC,Worst,0.9425287356321839,N/A,0.9534883720930233,0.9318181818181818,0.956140350877193,0.9868131868131869
21,NuSVC,Low,0.9397590361445783,N/A,0.9069767441860465,0.975,0.956140350877193,0.9494505494505494
22,SVC,Low,0.9761904761904762,N/A,0.9534883720930233,1.0,0.9824561403508771,0.989010989010989
23,DecisionTreeClassifier,Best,0.9302325581395349,0.9439895185063871,0.9302325581395349,0.9302325581395349,0.9473684210526315,1.0
24,ExtraTreeClassifier,Best,0.9545454545454546,0.9672453324598755,0.9767441860465116,0.9333333333333333,0.9649122807017544,1.0
